Date,Close,High,Low,Open,Volume,stock
2025-01-01,281.50140380859375,284.3604929559859,280.23593581659793,281.22019505641634,7878201,Wipro
2025-01-02,284.78228759765625,285.3916208664818,278.54857940000534,279.3453756223808,8800435,Wipro
2025-01-03,276.01763916015625,284.7823125527354,275.59579741511095,284.3136122169954,12535720,Wipro
2025-01-06,275.8769836425781,279.1578857248041,272.36173141162175,276.53317550190167,9173687,Wipro
2025-01-07,275.64263916015625,278.8766827219958,273.06478747112936,275.87698931370414,7381943,Wipro
2025-01-08,278.9235534667969,279.7672369420987,271.1899980626469,274.6583919292054,7937785,Wipro
2025-01-09,274.0022277832031,279.3454235011045,273.11171423502,278.4080227511008,7964702,Wipro
2025-01-10,281.7357482910156,284.2667414383746,275.8769943454597,275.8769943454597,19505556,Wipro
2025-01-13,273.58038330078125,280.517142335508,272.0805365509815,280.23593358556946,9541248,Wipro
2025-01-14,274.51776123046875,276.11132502693494,268.6121205056024,273.5334734727269,7670070,Wipro
2025-01-15,274.3302917480469,276.2519802255805,271.56497702261646,274.65838769369384,4662694,Wipro
2025-01-16,270.0182189941406,277.9392651434681,268.7527511279784,277.3768190878434,10345666,Wipro
2025-01-17,264.30010986328125,269.78388047197154,262.94086755425786,269.78388047197154,9358955,Wipro
2025-01-20,281.45452880859375,286.28213615414626,278.3611182862153,283.0949798507754,39380165,Wipro
2025-01-21,279.6734619140625,286.70396609185593,279.15787444337417,283.4699227271931,15619474,Wipro
2025-01-22,289.75054931640625,290.5942041877699,280.61089289437155,280.61089289437155,30859317,Wipro
2025-01-23,297.81219482421875,304.28025351993773,291.20350314671674,291.6253448776712,39904371,Wipro
2025-01-24,300.06195068359375,302.31170649889026,296.78104844252056,299.030804257817,17479586,Wipro
2025-01-27,288.67254638671875,299.1714166761132,287.5476541452274,297.90592005623495,12372895,Wipro
2025-01-28,290.2499694824219,294.0740796754033,288.2900955031316,290.6323746665909,12077491,Wipro
2025-01-29,298.7108154296875,300.86187738666854,291.63618831954506,291.63618831954506,16338112,Wipro
2025-01-30,295.41253662109375,299.9058781363986,292.49666403020615,297.3245918743047,9984186,Wipro
2025-01-31,298.18499755859375,301.81791988250086,295.9383269014854,297.99380954721744,15597644,Wipro
2025-02-01,291.3971862792969,299.4756307667261,290.01096383380866,298.80639980983835,6046117,Wipro
2025-02-03,299.81024169921875,300.19264687922254,287.0950579406672,289.6763439630714,14877076,Wipro
2025-02-04,302.3437194824219,304.8293970034145,299.57124536024196,304.0167677325222,15366864,Wipro
2025-02-05,303.1563415527344,307.3150672250492,301.0530692751639,303.825543331492,9628027,Wipro
2025-02-06,303.9689636230469,309.3705133109035,300.71844669347786,305.92880838148284,15062390,Wipro
2025-02-07,304.0167541503906,304.97278167916545,300.1926440352914,304.97278167916545,8589587,Wipro
2025-02-10,305.02056884765625,306.88483418351484,301.961298286416,304.781561967451,12304840,Wipro
2025-02-11,299.23663330078125,306.3112315756385,297.89820052050766,305.45081258658024,10627890,Wipro
2025-02-12,296.5597839355469,301.86572563753896,295.7471546109734,299.6668737481264,9668342,Wipro
2025-02-13,294.9822998046875,299.8580463253531,293.4526790085659,296.6553480791362,8832731,Wipro
2025-02-14,294.5521240234375,298.6630312373382,291.1582083694977,296.41636043063266,7371341,Wipro
2025-02-17,291.92303466796875,296.65535380159326,288.72033635997207,294.5521105785314,7507772,Wipro
2025-02-18,298.4718322753906,298.99763579197605,291.92303729501725,291.92303729501725,10368789,Wipro
2025-02-19,300.28826904296875,302.58272940235975,294.7432915674903,297.5635846018467,7835672,Wipro
2025-02-20,299.5234069824219,300.47943449168673,296.60753474942175,297.51577255348104,7697134,Wipro
2025-02-21,292.8790588378906,299.0454193049779,291.6362054620812,299.0454193049779,8722925,Wipro
2025-02-24,282.075927734375,289.96315532321836,280.450698342668,289.62856900845134,12600963,Wipro
2025-02-25,278.4908447265625,283.2709830100644,277.3436290439112,281.40674658488786,10810040,Wipro
2025-02-27,281.5501403808594,282.7929646443696,278.5386591457014,281.0721265601788,15555649,Wipro
2025-02-28,265.4410705566406,281.07212843212847,264.8196584207469,281.07212843212847,17458839,Wipro
